Tabela 281 - Efetivo de animais em estabelecimentos agropecuários por espécie de efetivo - série histórica (1970/2006),,,,,,
Variável - Efetivo de animais (Cabeças),,,,,,
,Ano x Espécie da pecuária,,,,,
,1970,1975,1980,1985,1995,2006
,Bovinos,Bovinos,Bovinos,Bovinos,Bovinos,Bovinos
Brasil,78562250,101673753,118085872,128041757,153058275,176147501
Fonte: IBGE - Censo Agropecuário,,,,,,
