Código ISIC Divisão,Descrição ISIC Divisão,Código ISIC Grupo,Descrição ISIC Grupo,2023 - Valor FOB (US$),2022 - Valor FOB (US$),2021 - Valor FOB (US$),2020 - Valor FOB (US$),2019 - Valor FOB (US$),2018 - Valor FOB (US$),2017 - Valor FOB (US$),2016 - Valor FOB (US$),2015 - Valor FOB (US$),2014 - Valor FOB (US$),2013 - Valor FOB (US$),2012 - Valor FOB (US$)
20,Fabricação de produtos químicos,201,"Fabricação de produtos químicos básicos, fertilizantes e compostos nitrogenados, plásticos e borracha sintética em formas primárias",6726604786,10335688165,8364418634,6004761785,7242841845,7942595737,7735943668,6992198247,7206484642,8516081033,9639675847,10440750423
01,"Produção vegetal, animal e caça",012,Cultivo de culturas perenes,6563923312,9457024342,6865837593,5765865377,5331929941,5175992794,5408286099,5599598265,6461939445,6924979552,5422357148,6524020691
28,Fabricação de máquinas e equipamentos n.c,282,Fabricação de máquinas para fins especiais,6191712928,6105353504,4865643187,3327113160,4528697045,5022690299,4887360995,3522418143,3435417895,4528498826,4795723256,5898471553
29,"Fabricação de veículos automóveis, reboques e semi-reboques",293,Fabricação de peças e acessórios para veículos automotores,4139777499,4420720800,3528122239,2430544149,3344900570,3906038710,3774608733,3265025563,3901683476,4427408152,5335942461,5881576488
28,Fabricação de máquinas e equipamentos n.c,281,Fabricação de máquinas de uso geral,3755486702,4064507184,3609685916,2712715461,3724311151,3842467698,3595229891,3445072426,3601958456,3920252847,3868036990,4658361166
07,Extração de minerais metálicos,072,Mineração de minérios metálicos não ferrosos,3614692069,3521791696,4050650975,3080813196,3142911078,3431996572,3191430457,2526507063,2616698711,2581975377,2590262193,2254752184
20,Fabricação de produtos químicos,202,Fabricação de outros produtos químicos,3147058085,3589298365,2754651596,2357301020,2461781534,2489813405,2499086491,2214918491,2247058462,2494043621,2574080709,2695307650
30,Fabricação de outro equipamento de transporte,303,Fabricação de ar e naves espaciais e máquinas relacionadas,3034607930,3411250609,3062367228,3149289661,5799447868,7385898342,7223949283,7259395071,6454529648,5829036749,5586379624,5618979235
10,Fabricação de produtos alimentícios,103,Processamento e conservação de frutas e legumes,2648772099,2768978992,2362685496,2046456605,2463463851,2729100455,2485631453,2345715675,2279916296,2359458579,2669391940,2670411048
12,Fabricação de produtos de tabaco,120,Fabricação de produtos de tabaco,2115800875,2358517744,1395005395,1558177954,2053374462,1903369142,2007431616,2039946604,2092749301,2388741026,3125324145,3088630744
27,Fabricação de equipamentos elétricos,271,"Fabricação de motores elétricos, geradores, transformadores e aparelhos de distribuição e controle de energia elétrica",1798735211,2052682462,1783532586,1439163038,1693568413,1497144654,1511206689,1617595545,1789135975,2242618283,2273877212,2361387260
23,Fabricação de outros produtos minerais não metálicos,239,Fabricação de produtos minerais não metálicos n.c,1539946186,2082763332,2074490880,1507920597,1667745905,1779696800,1777948464,1780235274,1838659862,2009601302,1795369900,1799433370
22,Fabricação de produtos de borracha e plásticos,221,Fabricação de produtos de borracha,1425134027,1857532151,1485650928,1174446133,1535057975,1583921238,1586191493,1444602374,1438439637,1687562520,1821574385,2031358260
16,"Fabricação de madeira e de produtos de madeira e cortiça, exceto móveis; fabricação de artigos de palha e de cestaria",162,"Fabricação de produtos de madeira, cortiça, palha e materiais para entrançar",1353787201,2290611849,2406462316,1542410350,1358689956,1629485943,1417988232,1182333087,1157776634,1139433037,1037036068,896712549
